#0
0.17,0.17,0.25,0.22,0.19
0.21,0.16,0.24,0.20,0.19
0.21,0.22,0.17,0.16,0.24
0.21,0.18,0.19,0.22,0.20
0.15,0.20,0.19,0.13,0.33

#1
0.16,0.18,0.22,0.24,0.20
0.20,0.19,0.22,0.16,0.23
0.16,0.17,0.21,0.19,0.27
0.16,0.18,0.18,0.21,0.27
0.30,0.13,0.18,0.18,0.21

#2
0.18,0.15,0.20,0.24,0.23
0.16,0.20,0.22,0.17,0.25
0.18,0.19,0.22,0.18,0.23
0.18,0.15,0.23,0.21,0.23
0.19,0.21,0.19,0.27,0.14

#3
0.15,0.19,0.22,0.19,0.25
0.20,0.16,0.21,0.20,0.23
0.19,0.23,0.24,0.21,0.13
0.17,0.20,0.20,0.24,0.19
0.17,0.23,0.18,0.21,0.21

#4
0.21,0.20,0.19,0.20,0.20
0.23,0.17,0.23,0.19,0.18
0.25,0.28,0.13,0.17,0.17
0.24,0.17,0.16,0.27,0.16
0.14,0.25,0.20,0.22,0.19

#5
0.20,0.15,0.30,0.15,0.20
0.19,0.19,0.16,0.25,0.21
0.19,0.18,0.15,0.22,0.26
0.26,0.25,0.15,0.21,0.13
0.24,0.16,0.22,0.24,0.14

#6
0.11,0.16,0.12,0.34,0.27
0.19,0.20,0.19,0.25,0.17
0.21,0.23,0.12,0.26,0.18
0.17,0.19,0.24,0.22,0.18
0.23,0.25,0.16,0.13,0.23

#7
0.18,0.23,0.20,0.26,0.13
0.17,0.26,0.18,0.27,0.12
0.13,0.19,0.18,0.33,0.17
0.21,0.18,0.16,0.24,0.21
0.19,0.19,0.21,0.20,0.21

#8
0.12,0.24,0.17,0.24,0.23
0.23,0.23,0.16,0.22,0.16
0.16,0.28,0.15,0.18,0.23
0.22,0.19,0.22,0.17,0.20
0.28,0.14,0.17,0.14,0.27

#9
0.23,0.13,0.25,0.18,0.21
0.20,0.15,0.28,0.17,0.20
0.15,0.23,0.20,0.23,0.19
0.16,0.25,0.22,0.18,0.19
0.17,0.20,0.19,0.15,0.29

#10
0.17,0.20,0.22,0.22,0.19
0.17,0.16,0.18,0.25,0.24
0.17,0.28,0.12,0.18,0.25
0.22,0.20,0.19,0.18,0.21
0.20,0.15,0.27,0.20,0.18

#11
0.23,0.17,0.19,0.21,0.20
0.20,0.19,0.24,0.18,0.19
0.21,0.19,0.12,0.28,0.20
0.18,0.23,0.19,0.15,0.25
0.19,0.21,0.18,0.14,0.28

#12
0.26,0.19,0.20,0.18,0.17
0.17,0.27,0.21,0.20,0.15
0.25,0.17,0.15,0.23,0.20
0.32,0.22,0.14,0.15,0.17
0.15,0.25,0.21,0.16,0.23

#13
0.21,0.28,0.20,0.17,0.14
0.34,0.16,0.14,0.19,0.17
0.16,0.23,0.15,0.18,0.28
0.20,0.22,0.22,0.16,0.20
0.21,0.18,0.19,0.18,0.24

#14
0.20,0.22,0.21,0.18,0.19
0.18,0.23,0.19,0.19,0.21
0.27,0.17,0.22,0.21,0.13
0.22,0.19,0.25,0.20,0.14
0.14,0.19,0.20,0.19,0.28

#15
0.28,0.13,0.19,0.26,0.14
0.15,0.24,0.17,0.17,0.27
0.25,0.24,0.19,0.17,0.15
0.23,0.15,0.15,0.30,0.17
0.13,0.20,0.26,0.19,0.22

#16
0.18,0.24,0.21,0.25,0.12
0.16,0.27,0.20,0.16,0.21
0.17,0.24,0.19,0.21,0.19
0.24,0.23,0.17,0.16,0.20
0.18,0.21,0.23,0.19,0.19

#17
0.20,0.14,0.22,0.24,0.20
0.23,0.18,0.19,0.20,0.20
0.13,0.15,0.25,0.20,0.27
0.22,0.12,0.22,0.18,0.26
0.21,0.29,0.16,0.15,0.19

#18
0.15,0.22,0.20,0.22,0.21
0.21,0.24,0.19,0.22,0.14
0.23,0.17,0.23,0.17,0.20
0.19,0.20,0.13,0.28,0.20
0.15,0.25,0.18,0.21,0.21

#19
0.20,0.22,0.19,0.19,0.20
0.18,0.25,0.23,0.18,0.16
0.19,0.16,0.24,0.23,0.18
0.21,0.17,0.21,0.27,0.14
0.23,0.20,0.13,0.24,0.20

#20
0.24,0.20,0.17,0.24,0.15
0.23,0.15,0.18,0.20,0.24
0.24,0.22,0.18,0.18,0.18
0.17,0.19,0.16,0.23,0.25
0.20,0.18,0.25,0.15,0.22

#21
0.17,0.25,0.21,0.24,0.13
0.23,0.25,0.21,0.17,0.14
0.24,0.20,0.19,0.15,0.22
0.22,0.24,0.18,0.17,0.19
0.12,0.23,0.16,0.29,0.20

#22
0.13,0.20,0.21,0.26,0.20
0.22,0.18,0.15,0.25,0.20
0.20,0.18,0.16,0.20,0.26
0.20,0.16,0.24,0.22,0.18
0.16,0.23,0.21,0.23,0.17

#23
0.23,0.13,0.29,0.21,0.14
0.14,0.12,0.27,0.20,0.27
0.21,0.24,0.18,0.18,0.19
0.25,0.15,0.22,0.13,0.25
0.22,0.22,0.15,0.19,0.22

#24
0.20,0.22,0.18,0.22,0.18
0.22,0.16,0.21,0.20,0.21
0.20,0.31,0.15,0.17,0.17
0.21,0.21,0.15,0.20,0.23
0.18,0.11,0.23,0.22,0.26

#25
0.26,0.19,0.20,0.17,0.18
0.18,0.15,0.27,0.26,0.14
0.13,0.16,0.21,0.29,0.21
0.27,0.13,0.19,0.21,0.20
0.20,0.23,0.10,0.22,0.25

#26
0.25,0.25,0.16,0.15,0.19
0.19,0.18,0.19,0.22,0.22
0.19,0.20,0.24,0.14,0.23
0.15,0.25,0.22,0.17,0.21
0.18,0.22,0.22,0.20,0.18

#27
0.17,0.21,0.18,0.22,0.22
0.22,0.18,0.16,0.23,0.21
0.19,0.12,0.24,0.21,0.24
0.15,0.22,0.26,0.19,0.18
0.17,0.23,0.20,0.22,0.18

#28
0.20,0.13,0.19,0.24,0.24
0.23,0.21,0.19,0.18,0.19
0.22,0.19,0.16,0.23,0.20
0.15,0.24,0.18,0.23,0.20
0.24,0.22,0.20,0.20,0.14

#29
0.19,0.20,0.21,0.21,0.19
0.25,0.21,0.25,0.17,0.12
0.16,0.18,0.25,0.17,0.24
0.18,0.22,0.11,0.27,0.22
0.14,0.14,0.22,0.24,0.26

#30
0.19,0.25,0.19,0.15,0.22
0.16,0.24,0.22,0.16,0.22
0.20,0.22,0.23,0.17,0.18
0.24,0.13,0.15,0.25,0.23
0.20,0.22,0.20,0.18,0.20

#31
0.21,0.16,0.23,0.26,0.14
0.18,0.19,0.20,0.20,0.23
0.18,0.18,0.15,0.26,0.23
0.23,0.20,0.21,0.16,0.20
0.24,0.24,0.13,0.13,0.26

#32
0.13,0.18,0.23,0.20,0.26
0.21,0.21,0.24,0.20,0.14
0.23,0.20,0.20,0.18,0.19
0.20,0.19,0.16,0.19,0.26
0.19,0.14,0.26,0.19,0.22

#33
0.17,0.18,0.27,0.17,0.21
0.21,0.18,0.24,0.16,0.21
0.23,0.16,0.29,0.10,0.22
0.27,0.20,0.17,0.17,0.19
0.18,0.22,0.19,0.21,0.20

#34
0.20,0.18,0.23,0.25,0.14
0.26,0.25,0.19,0.18,0.12
0.29,0.17,0.13,0.19,0.22
0.21,0.18,0.15,0.20,0.26
0.20,0.24,0.17,0.18,0.21

#35
0.23,0.17,0.17,0.20,0.23
0.22,0.21,0.18,0.21,0.18
0.20,0.13,0.23,0.26,0.18
0.18,0.24,0.23,0.18,0.17
0.18,0.18,0.19,0.27,0.18

#36
0.24,0.14,0.20,0.23,0.19
0.23,0.17,0.28,0.16,0.16
0.19,0.17,0.25,0.20,0.19
0.21,0.20,0.21,0.19,0.19
0.14,0.20,0.26,0.21,0.19

#37
0.24,0.14,0.24,0.16,0.22
0.22,0.21,0.19,0.19,0.19
0.18,0.22,0.22,0.20,0.18
0.13,0.21,0.25,0.20,0.21
0.21,0.20,0.29,0.17,0.13

#38
0.32,0.18,0.17,0.15,0.18
0.22,0.18,0.23,0.21,0.16
0.13,0.23,0.21,0.17,0.26
0.16,0.25,0.18,0.19,0.22
0.19,0.25,0.13,0.24,0.19

#39
0.19,0.20,0.20,0.18,0.23
0.22,0.17,0.16,0.18,0.27
0.16,0.25,0.17,0.26,0.16
0.22,0.16,0.13,0.29,0.20
0.19,0.16,0.21,0.16,0.28

#40
0.27,0.14,0.15,0.23,0.21
0.21,0.13,0.22,0.23,0.21
0.20,0.23,0.18,0.19,0.20
0.23,0.25,0.22,0.15,0.15
0.17,0.27,0.19,0.21,0.16

#41
0.25,0.23,0.19,0.17,0.16
0.13,0.25,0.20,0.21,0.21
